username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050274,3.0,100.5,279.5,1.0,22.5,22.5,1.0,15.5,15.5,5.0,4.0,1.0,0.791666667,11.0308595,6.5,1.0,0.25,5.0,1.0,0.0,0.0,1.5,0.375,0.5,0.125,8.0,1.958333334,0.5,0.125,0.0,0.0,9.5,2.333333334,1.0,0.25,10.5,2.583333334,13.5,3.0833333339999998,0.0,0.0,15.5,3.5833333339999998,39.5,9.25,3.0,3.0,1.5,3.0,8.49,8.5,1,80
Y1050275,4.0,221.66666669999998,977.0,2.0,23.33333334,37.0,3.0,45.4,173.0,21.0,17.5,3.5,0.8014705879999999,12.4373535,4.5,13.5,0.6360294120000001,19.5,0.908088236,1.5,0.044117647,16.0,0.805147059,43.0,1.5514705880000002,52.5,1.6875,21.5,0.6323529410000001,0.0,0.0,68.5,2.4926470590000003,64.5,2.18382353,133.0,4.676470588,90.0,3.125,1.5,0.044117647,154.0,5.676470588,378.5,13.52205883,1.5,1.5,0.5,1.5,5.0,7.5,0,20
Y1050276,2.0,254.0,672.0,1.0,79.0,79.0,1.0,15.5,31.0,8.0,4.5,3.5,0.28125,1.6497501030000001,3.0,1.0,0.0625,8.0,0.5,0.0,0.0,0.5,0.03125,1.5,0.09375,12.5,0.78125,4.0,0.25,0.0,0.0,13.0,0.8125,5.5,0.34375,18.5,1.15625,24.5,1.53125,0.0,0.0,26.5,1.65625,69.5,4.34375,3.0,3.0,2.0,3.0,5.84375,5.0,0,40
Y1050277,1.5,358.6666667,1076.0,1.5,20.83333334,62.5,1.5,58.16666665,174.5,12.0,12.0,0.0,0.5,6.115136335,2.5,8.0,0.333333334,12.0,0.5,2.0,0.08333333400000001,12.0,0.5,27.5,1.145833334,89.0,3.7083333339999998,20.5,0.854166667,0.0,0.0,101.0,4.208333334,48.0,2.0,149.0,6.208333335,119.5,4.979166666,2.0,0.08333333400000001,161.0,6.708333335,431.5,17.97916667,0.0,0.0,0.0,0.0,0.0,3.0,0,10
Y1050278,3.0,121.5,387.0,2.0,26.16666667,48.5,2.0,6.333333334,15.0,7.0,6.0,1.0,0.9,10.06067677,6.0,1.0,0.1,5.0,0.65,2.5,0.4,2.5,0.25,2.0,0.2,1.0,0.1,1.0,0.1,0.0,0.0,3.5,0.35,3.0,0.3,6.5,0.65,6.5,0.8,2.5,0.4,13.5,1.65,29.0,3.5,3.0,3.0,2.0,3.0,7.51125,6.0,0,54
Y1050279,5.0,520.375,2602.0,5.0,37.45833334,179.0,4.0,54.73333334,233.0,18.0,14.0,4.0,0.753246753,7.473971701,2.0,10.5,0.581168831,17.5,0.964285715,1.5,0.081168831,18.0,0.883116883,25.0,1.3311688309999998,117.0,5.980519481,32.0,1.753246754,0.0,0.0,135.0,6.8636363639999995,57.0,3.084415585,192.0,9.948051947,163.0,8.525974027,1.5,0.081168831,210.0,10.94805195,566.5,29.50324675,3.0,3.0,2.5,3.0,9.21875,7.0,1,70
Y1050280,3.0,45.66666667,137.0,0.0,0.0,0.0,1.5,11.5,19.0,4.0,3.5,0.5,0.916666667,3.72802669,2.5,0.5,0.08333333400000001,3.0,0.833333333,2.0,0.666666667,0.0,0.0,0.5,0.08333333400000001,9.5,2.416666667,3.0,0.5,0.0,0.0,9.5,2.416666667,3.5,0.583333334,13.0,3.0,14.5,3.25,2.0,0.666666667,17.0,4.0,46.5,10.91666667,1.0,1.0,1.0,1.0,0.875,3.0,0,10
Y1050281,1.0,129.0,129.0,0.5,4.0,4.0,0.5,20.0,20.0,1.5,0.5,1.0,0.166666667,6.1060995,0.5,1.5,0.5,1.5,0.5,0.5,0.166666667,1.5,0.5,2.0,0.666666667,12.5,4.166666666,1.0,0.333333334,0.0,0.0,14.0,4.666666666,3.0,1.0,17.0,5.666666665,14.5,4.833333334,0.5,0.166666667,18.5,6.166666665,50.5,16.83333334,0.0,0.0,0.0,0.0,0.0,3.0,0,10
Y1050282,2.5,216.66666669999998,524.5,2.0,13.75,27.5,2.5,33.41666667,82.0,6.0,4.5,1.5,0.625,7.377665659,2.0,3.0,0.5,5.0,0.8125,2.0,0.3125,10.5,2.5,5.0,0.6875,16.5,2.5625,2.5,0.375,0.0,0.0,27.0,5.0625,7.5,1.0625,34.5,6.125,22.0,3.4375,2.0,0.3125,40.5,7.125,99.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,0,10
Y1050283,2.0,184.5,369.0,1.0,19.25,38.5,1.0,17.25,34.5,5.0,1.0,4.0,0.1,3.598712785,1.0,2.0,0.2,5.0,0.5,0.5,0.05,7.5,0.75,11.0,1.1,4.5,0.45,1.0,0.1,0.0,0.0,12.0,1.2,12.0,1.2,24.0,2.4,10.0,1.0,0.5,0.05,29.0,2.9,63.5,6.35,0.5,0.5,0.5,0.5,0.75,3.0,0,20
